project_name,detail_url,published_date,entity,start_date,estimated_finish,budget_size,status
"PR2600012035-00Khu đô thị mới Liên Ninh, xã Liên Ninh, huyện Thanh Trì (nay thuộc xã Ngọc Hồi theo Quyết định 3784/QĐ-UBND)",https://dauthau.asia/duanmoicongbo/khu-do-thi-moi-lien-ninh-xa-lien-ninh-huyen-thanh-tri-nay-thuoc-xa-ngoc-hoi-theo-quyet-dinh-3784-qd-ubnd-PR2600012035-00.html,11:48 20/03/2026,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
"PR2600006973-00Đầu tư xây dựng Khu cây xanh, thể dục thể thao Phúc Thịnh",https://dauthau.asia/duanmoicongbo/dau-tu-xay-dung-khu-cay-xanh-the-duc-the-thao-phuc-thinh-PR2600006973-00.html,11:18 11/02/2026,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
"PR2500065899-00Dự án đầu tư xây dựng Khu đô thị Nam Chính, xã Phú Xuyên, thành phố Hà Nội.",https://dauthau.asia/duanmoicongbo/du-an-dau-tu-xay-dung-khu-do-thi-nam-chinh-xa-phu-xuyen-thanh-pho-ha-noi-PR2500065899-00.html,16:05 04/12/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
"PR2500065887-00Khu đô thị mới C3-1, xã Đại Áng, huyện Thanh Trì (nay, là xã Ngọc Hồi)",https://dauthau.asia/duanmoicongbo/khu-do-thi-moi-c3-1-xa-dai-ang-huyen-thanh-tri-nay-la-xa-ngoc-hoi-PR2500065887-00.html,16:05 04/12/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
"PR2500061525-00Xây dựng Khu đô thị mới Tiên Trượng, xã Xuân Mai",https://dauthau.asia/duanmoicongbo/xay-dung-khu-do-thi-moi-tien-truong-xa-xuan-mai-PR2500061525-00.html,08:15 21/11/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
PR2500057382-00Xây dựng Khu đô thị Vibex,https://dauthau.asia/duanmoicongbo/xay-dung-khu-do-thi-vibex-PR2500057382-00.html,18:25 05/11/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
PR2500049441-00xây dựng Khu chức năng đô thị Nam Đại lộ Thăng Long,https://dauthau.asia/duanmoicongbo/xay-dung-khu-chuc-nang-do-thi-nam-dai-lo-thang-long-PR2500049441-00.html,15:08 26/09/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
PR2500042329-00Xây dựng nhà ở Uy Nỗ - Việt Hùng.,https://dauthau.asia/duanmoicongbo/xay-dung-nha-o-uy-no-viet-hung-PR2500042329-00.html,12:36 22/07/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
"PR2500042328-00Xây dựng Khu đô thị mới G15 tại xã Đông Hội, huyện Đông Anh.",https://dauthau.asia/duanmoicongbo/xay-dung-khu-do-thi-moi-g15-tai-xa-dong-hoi-huyen-dong-anh-PR2500042328-00.html,12:35 22/07/2025,Sở Tài chính Thành phố Hà Nội,,,,thực hiện các hoạt động LCNĐT
"PR2500031615-00Khu đô thị mới Đại Thịnh tại xã Mê Linh và xã Đại Thịnh, huyện Mê Linh",https://dauthau.asia/duanmoicongbo/khu-do-thi-moi-dai-thinh-tai-xa-me-linh-va-xa-dai-thinh-huyen-me-linh-PR2500031615-00.html,16:56 25/06/2025,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
"PR2500039449-00Xây dựng Nhà ở cho lực lượng vũ trang Công an nhân dân tại ô đất N02, số 275 đường Nguyễn Trãi, quận Thanh Xuân.",https://dauthau.asia/duanmoicongbo/xay-dung-nha-o-cho-luc-luong-vu-trang-cong-an-nhan-dan-tai-o-dat-n02-so-275-duong-nguyen-trai-quan-thanh-xuan-PR2500039449-00.html,16:54 25/06/2025,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
"PR2500026253-00Xây dựng Nhà ở xã hội để bán cho cán bộ, công chức, người lao động thuộc Văn phòng Chủ tịch nước và các đối tượng khác",https://dauthau.asia/duanmoicongbo/xay-dung-nha-o-xa-hoi-de-ban-cho-can-bo-cong-chuc-nguoi-lao-dong-thuoc-van-phong-chu-tich-nuoc-va-cac-doi-PR2500026253-00.html,09:03 08/05/2025,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
"PR2500024778-00Đầu tư xây dựng Khu nhà ở xã hội - Tây Nam Kim Giang tại các ô đất CT6B, CT7 và CT8 thuộc Khu đô thị mới Tây Nam Kim Giang I, xã Tân Triều - huyện Thanh Trì và phường Đại Kim - quận Hoàng Mai.",https://dauthau.asia/duanmoicongbo/dau-tu-xay-dung-khu-nha-o-xa-hoi-tay-nam-kim-giang-tai-cac-o-dat-ct6b-ct7-va-ct8-thuoc-khu-do-thi-moi-tay-nam-PR2500024778-00.html,07:45 05/05/2025,Sở Tài chính Thành phố Hà Nội,,,,đăng tải
